names,fs,kt,Q_3dB,Q_slope,Rm,Cm,Lm,C0,Q_rec
R2C10_80MHz_140MHz_Pm5dBm.s2p,105342500,0.269257815,2160.871795,5409.399784,279.7710845,0.000394295,5.79E-15,2.23E-14,1111.23
R2C11_80MHz_140MHz_Pm5dBm.s2p,105350000,0.268682942,1652.54902,1996.740621,189.7879905,0.000384181,5.94E-15,2.29E-14,1595.54
R2C12_80MHz_140MHz_Pm5dBm.s2p,105342500,0.264367204,2006.52381,5236.020292,303.9699295,0.000384313,5.94E-15,2.33E-14,993.49
R2C13_80MHz_140MHz_Pm5dBm.s2p,104108750,0.287535864,2523.848485,3962.400241,78.14205241,0.000155247,1.51E-14,5.35E-14,1568.03
R2C14_80MHz_140MHz_Pm5dBm.s2p,104142500,0.30205755,5554.266667,7558.283315,37.35947302,0.000175823,1.33E-14,4.45E-14,3753.85
R2C15_80MHz_140MHz_Pm5dBm.s2p,104446250,0.293887488,2532.030303,3234.850601,67.96663852,0.000233496,9.94E-15,3.44E-14,2732.40
R2C16_80MHz_140MHz_Pm5dBm.s2p,104746250,0.256244729,2793.233333,3588.479396,80.23830518,0.000318933,7.24E-15,2.95E-14,3088.29
R2C17_80MHz_140MHz_Pm5dBm.s2p,105267500,0.277143735,4678.555556,6612.989496,64.21580858,0.000377546,6.05E-15,2.25E-14,4657.89
R2C18_80MHz_140MHz_Pm5dBm.s2p,106253750,0.206505569,745.6403509,1401.451555,830.9521873,0.000652609,3.44E-15,1.80E-14,598.35
R2C19_80MHz_140MHz_Pm5dBm.s2p,109250000,0.200160508,1324.242424,1744.493611,1048.346343,0.00101812,2.08E-15,1.13E-14,757.53
R2C5_80MHz_140MHz_Pm5dBm.s2p,105383750,0.272573404,1338.206349,1829.808403,201.8833788,0.000348102,6.55E-15,2.48E-14,1363.21
R2C5_80MHz_140MHz_Pm5dBm_widespan.s2p,105367500,0.27358311,144.3390411,489.4450009,236.8196486,0.000521443,4.38E-15,1.65E-14,1741.74
R2C6_80MHz_140MHz_Pm5dBm.s2p,105320000,0.272511618,1404.266667,3949.869261,314.1131364,0.000355606,6.42E-15,2.43E-14,894.45
R2C7_80MHz_140MHz_Pm5dBm.s2p,105233750,0.267131034,2004.452381,2413.715796,155.2331142,0.000381445,6.00E-15,2.33E-14,1932.59
R2C8_80MHz_140MHz_Pm5dBm.s2p,105050000,0.271112536,1400.666667,2402.81911,305.3358791,0.000390154,5.88E-15,2.24E-14,1005.99
R2C9_80MHz_140MHz_Pm5dBm.s2p,105458750,0.271706388,1004.369048,1420.631328,402.1547199,0.000383619,5.94E-15,2.26E-14,754.24
R3C10_80MHz_140MHz_Pm5dBm.s2p,103786250,0.311032004,3459.541667,3820.888743,29.0849827,0.000115046,2.04E-14,6.61E-14,3164.33
R3C11_80MHz_140MHz_Pm5dBm.s2p,103718750,0.304443314,3951.190476,5771.517195,58.05945941,0.000117737,2.00E-14,6.64E-14,1613.64
R3C12_80MHz_140MHz_Pm5dBm.s2p,103745000,0.305266445,3073.925926,3882.562395,25.50814311,0.000117544,2.00E-14,6.62E-14,3669.85
R3C13_80MHz_140MHz_Pm5dBm.s2p,103688750,0.302186681,3456.291667,7247.899609,46.10086617,0.00011908,1.98E-14,6.63E-14,2051.52
R3C14_80MHz_140MHz_Pm5dBm.s2p,103692500,0.300801923,3456.416667,4064.283738,23.64877758,0.000119253,1.98E-14,6.65E-14,4001.27
R3C15_80MHz_140MHz_Pm5dBm.s2p,103685000,0.303638398,3072.148148,4146.688481,23.390462,0.000118139,1.99E-14,6.64E-14,4015.43
R3C16_80MHz_140MHz_Pm5dBm.s2p,103707500,0.299180289,2765.533333,3095.031446,77.19742235,0.000119392,1.97E-14,6.69E-14,1225.96
R3C17_80MHz_140MHz_Pm5dBm.s2p,103613750,0.305331007,1201.318841,2825.15383,46.36797972,0.000101425,2.33E-14,7.69E-14,1739.91
R3C18_80MHz_140MHz_Pm5dBm.s2p,103610000,0.307395794,3069.925926,3825.228168,25.43631361,0.000118915,1.98E-14,6.51E-14,3723.94
R3C19_80MHz_140MHz_Pm5dBm.s2p,103628750,0.298000485,3070.481481,3569.707065,36.89123604,0.000147225,1.60E-14,5.46E-14,3158.40
